train_loss,epoch,step,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_loss
0.16382157802581787,0,49,,,,,,,,,,,,
,0,73,0.946360170841217,0.8575027585029602,0.9863772392272949,0.9112061858177185,0.980269193649292,0.15214823186397552,,,,,,
0.06806986778974533,1,99,,,,,,,,,,,,
,1,147,0.959770143032074,0.8973669409751892,0.9719151258468628,0.9279331564903259,0.9863344430923462,0.10627182573080063,,,,,,
0.005077835638076067,2,149,,,,,,,,,,,,
0.07247410714626312,2,199,,,,,,,,,,,,
,2,221,0.961685836315155,0.9225404858589172,0.9501778483390808,0.9309481978416443,0.9866796135902405,0.09885372221469879,,,,,,
0.004335571546107531,3,249,,,,,,,,,,,,
,3,295,0.946360170841217,0.8659763336181641,0.9810254573822021,0.9132471084594727,0.9909968376159668,0.12993095815181732,,,,,,
0.007571101654320955,4,299,,,,,,,,,,,,
0.005087560974061489,4,349,,,,,,,,,,,,
,4,369,0.9636015295982361,0.9121991991996765,0.9660995602607727,0.9330758452415466,0.989045262336731,0.11070888489484787,,,,,,
0.0005260531906969845,5,399,,,,,,,,,,,,
,5,443,0.9636015295982361,0.9380404949188232,0.9413822293281555,0.9350840449333191,0.9882606863975525,0.11427921801805496,,,,,,
0.0019049861002713442,6,449,,,,,,,,,,,,
0.0006704009138047695,6,499,,,,,,,,,,,,
,6,517,0.9655172228813171,0.9441707730293274,0.9413822293281555,0.938310444355011,0.9910911917686462,0.11247091740369797,,,,,,
0.001038903370499611,7,549,,,,,,,,,,,,
,7,591,0.9655172228813171,0.9296413064002991,0.9756947159767151,0.9477648138999939,0.9910383820533752,0.12073049694299698,,,,,,
0.00036964489845559,8,599,,,,,,,,,,,,
0.0002693079586606473,8,649,,,,,,,,,,,,
,8,665,0.9636015295982361,0.9325605034828186,0.9659033417701721,0.9441222548484802,0.9893313646316528,0.12408848851919174,,,,,,
0.00019186669669579715,9,699,,,,,,,,,,,,
,9,739,0.967432975769043,0.9431490898132324,0.9659033417701721,0.9499452710151672,0.9891057014465332,0.1234135553240776,,,,,,
,10,740,,,,,,,0.9642105102539062,0.9166644215583801,0.9496382474899292,0.9264183640480042,0.992375373840332,0.1335567682981491
